timestamp_sec,direction,type,val1,val2,val3,val4,val5,val6
1773038702.510219,RX,IMU,-860,-272,18020,-300,130,17
1773038702.528265,RX,ODOM,0,0,,,,
1773038702.530024,RX,IMU,-920,-136,18052,-305,140,20
1773038702.548062,RX,ODOM,0,0,,,,
1773038702.549924,RX,IMU,-884,-56,17956,-271,145,31
1773038702.568077,RX,ODOM,0,0,,,,
1773038702.569814,RX,IMU,-920,-12,18024,-286,119,27
1773038702.587955,RX,ODOM,0,0,,,,
1773038702.589723,RX,IMU,-836,-116,17936,-295,153,29
1773038702.607887,RX,ODOM,0,0,,,,
1773038702.609697,RX,IMU,-828,-68,18012,-276,141,45
1773038702.627689,RX,ODOM,0,0,,,,
1773038702.629548,RX,IMU,-892,-108,17760,-293,162,11
1773038702.647646,RX,ODOM,0,0,,,,
1773038702.649486,RX,IMU,-944,-140,17884,-314,130,26
1773038702.667620,RX,ODOM,0,0,,,,
1773038702.669375,RX,IMU,-852,-80,18008,-289,156,18
1773038702.687493,RX,ODOM,0,0,,,,
1773038702.689207,RX,IMU,-884,36,17928,-282,143,19
1773038702.707409,RX,ODOM,0,0,,,,
1773038702.709136,RX,IMU,-776,-140,18012,-296,159,27
1773038702.727178,RX,ODOM,0,0,,,,
1773038702.729034,RX,IMU,-896,-168,18016,-288,137,30
1773038702.747178,RX,ODOM,0,0,,,,
1773038702.749082,RX,IMU,-908,-224,17972,-299,165,18
1773038702.766998,RX,ODOM,0,0,,,,
1773038702.768970,RX,IMU,-908,-28,17916,-303,122,24
1773038702.786938,RX,ODOM,0,0,,,,
1773038702.788827,RX,IMU,-920,112,17988,-289,137,19
1773038702.806936,RX,ODOM,0,0,,,,
1773038702.808671,RX,IMU,-840,-88,17904,-312,169,20
1773038702.826707,RX,ODOM,0,0,,,,
1773038702.828708,RX,IMU,-828,-224,17992,-282,144,20
1773038702.846609,RX,ODOM,0,0,,,,
1773038702.848610,RX,IMU,-816,-184,18012,-293,115,49
1773038702.866563,RX,ODOM,0,0,,,,
